"team","conf","games","wins","losses","adj_t","adj_o","adj_d","barthag","efg","def_efg","ftr"
"Houston","B12",27,23,4,61.7,124.87905708232,88.079108447278,0.98227280346538,53.2,45.3,26.7
"Duke","ACC",27,24,3,66.4,126.98815079293,90.325052331002,0.98050304852316,57.6,44.2,31.5
"Auburn","SEC",27,25,2,69.1,129.89301167088,93.181196830595,0.97854059998614,55.4,45.1,32.4
"Florida","SEC",27,24,3,69.7,124.62484447097,93.793724005561,0.96332923519637,54.4,44.3,31.1
"Tennessee","SEC",27,22,5,64.9,116.51249002578,88.571414077309,0.95903372575425,52.8,43.5,32.5
"Alabama","SEC",27,22,5,75.3,126.50338374814,97.334987740595,0.95321470728546,56.4,47.2,41.7
"Texas Tech","B12",27,21,6,66.5,123.53104504851,96.23837330789,0.94640119598291,56.3,47.4,29.4
"Arizona","B12",27,18,9,71,120.32762417068,94.243483684654,0.9432068662178,52.8,47.7,35.4
"Iowa St.","B12",27,21,6,69.5,118.89205782667,93.20463607161,0.94263870039532,54.2,48.6,39.8
"Maryland","B10",27,21,6,70.8,119.48674917861,94.429283184736,0.9374134415779,55.5,47.7,32.1
"Gonzaga","WCC",29,21,8,70.7,123.11163535162,97.65349878176,0.93487837162978,55.9,47.5,30.8
"Missouri","SEC",27,20,7,68.9,124.86679271017,99.358964718576,0.93263231545471,56.2,49.6,48.5
"Wisconsin","B10",27,21,6,68.2,123.27916929023,98.204047396181,0.93183002835877,55.5,48.2,34.3
"Illinois","B10",28,17,11,72.6,120.44023106052,96.297492456989,0.9290825084426,51.8,46.2,35.2
"Kentucky","SEC",27,18,9,71.4,124.99849398112,99.959512496788,0.92894988315795,56.4,49.1,33.7
"Purdue","B10",28,19,9,66.1,122.7118900783,98.202993018719,0.92839081314362,56.4,51.7,36
"St. John's","BE",28,24,4,70.8,112.21694584452,89.914856096727,0.92744338525851,49.5,46.4,30.4
"Kansas","B12",27,18,9,69.3,114.26683827839,91.561977797176,0.92740427160882,53.2,45.1,22.8
"BYU","B12",27,19,8,67.7,123.40877271726,99.229441373359,0.92468512301156,57.4,50.8,29
"Michigan St.","B10",27,22,5,68.5,117.3609948288,94.372309734151,0.92463662855127,51.8,46.3,38.2
"Saint Mary's","WCC",28,24,4,63,116.47970251343,93.862293325024,0.92292117993421,51.7,46.4,30.8
"Michigan","B10",26,20,6,70.6,118.31796659459,95.437994042788,0.92210785192439,56.7,47,36.1
"Texas A&M","SEC",27,20,7,67,114.76813614111,92.767972579503,0.92036692696396,47.9,47.6,40
"Louisville","ACC",27,21,6,69.6,118.72211120804,96.375365287383,0.91668626133958,53.4,50.2,34.6
"UCLA","B10",28,20,8,65.8,115.4101694174,93.737512121861,0.91620994773814,52.9,49.3,33.6
"Clemson","ACC",27,22,5,64.5,118.92630506663,96.740932064629,0.91485230198595,54.7,49.2,27.5
"Mississippi","SEC",27,19,8,68.8,115.55047586495,95.183705234273,0.90289688939234,51.6,48.6,34.9
"Mississippi St.","SEC",27,19,8,68.5,118.24418503855,97.615402633436,0.90067439306328,52,50.9,31.8
"Baylor","B12",26,15,11,66,121.02386964351,100.52677898657,0.89416243431093,52.2,52.3,31.6
"Marquette","BE",27,20,7,68.4,116.14417241233,96.593311292492,0.89280437501948,51.7,50.6,26.3
"West Virginia","B12",27,16,11,65,110.61734668528,92.845539380659,0.88227020504331,50,45.9,26.2
"VCU","A10",26,21,5,67.4,113.91390062774,95.649877134944,0.88180213807405,52.6,44.6,31.6
"Creighton","BE",27,19,8,69,115.20449232789,96.743874202495,0.88167410850645,55.4,45.6,29.8
